,-25,-5,0,5,10,15
62,0.0,7.992,7.992,0.0,7.9999999992,7.2
73,-3.0,-2.9997,-2.997,-2.9997,-3.0,-2.9999999999999996
84,-13.999986,-12.6,-13.9999986,-13.86,-13.9999999986,-13.9986
91,-21.0,-21.0,-21.0,-20.999999999999996,-21.0,-20.99999999999998
86,-16.0,-15.9999999999984,-16.0,-15.99999984,-15.999999984,-16.0
125,-55.0,-54.9999999945,-54.99999999999945,-54.9999999945,-54.945,-54.45
177,-96.3,0.0,-106.893,-105.93,-96.3,0.0
184,0.0,-102.60000000000001,-113.886,0.0,0.0,-112.86
186,-114.84,-104.4,-104.4,-114.84,-104.4,-104.4
163,-92.9999999907,-93.0,-92.99999999999908,-93.0,-92.9999999907,-92.9999999907
183,-112.999887,-112.999999887,-112.9999999999887,-112.9887,-112.99999999999886,-112.999999999887
173,-102.99999999999898,-102.99999999999999,-102.999999897,-102.99999999897,-103.0,-102.99999999897
150,-79.92,0.0,0.0,-79.2,-79.999992,-79.92
79,-8.9991,-8.991,-9.0,-8.991,-9.0,-8.9991
136,-65.9934,-65.934,-65.934,-65.999934,-65.9934,0.0
146,0.0,-75.924,-75.9999924,-75.99999999999923,-75.99924,-68.4
148,-78.0,-77.999922,-77.999999999922,-77.999999922,-78.0,-77.9999999922
145,-74.925,-74.99925,-74.9999999999925,-74.9925,-74.9925,-67.5
155,-84.9915,-84.9915,-84.99915,-84.915,-84.15,-84.999915
144,-73.926,-73.26,0.0,-73.999926,-73.26,-66.60000000000001
161,0.0,-81.9,-90.909,0.0,-81.9,-81.9
198,-127.99998719999999,-127.872,-127.99999872,-127.9999999999872,-127.99999999872,-115.2
218,-147.852,-147.852,-147.852,-147.852,-147.9999852,-147.9852
223,-151.47,-152.9999999847,-151.47,-152.847,-152.847,-151.47
243,0.0,-155.70000000000002,-155.70000000000002,0.0,-172.827,-155.70000000000002
263,-173.70000000000002,0.0,0.0,0.0,0.0,-173.70000000000002
240,0.0,0.0,0.0,0.0,0.0,0.0
89,-18.981,-18.981,-19.0,-18.99981,-18.981,-18.81
90,-20.0,-19.999999999979998,-19.999999998,-19.999999999979998,-19.999998,-20.0
143,-73.0,-72.99999999927,-72.9999927,-72.99999927,-73.0,-73.0
120,-49.995,-49.9999999995,-49.5,-50.0,-49.9999999995,-49.999999995
132,0.0,-55.800000000000004,-61.999938,-61.38,-55.800000000000004,-61.9938
129,-58.941,-58.99941,-53.1,0.0,-58.941,-58.9999999941
131,-54.9,-60.939,-60.39,-60.999939,-60.39,-60.939
178,-107.9999892,-107.99999999892,-107.9999999892,-107.99999892,-107.99999999999999,-107.999999999892
71,-0.9999,-0.999999999999,-0.999999999999999,-0.99999,-1.0,-0.99999999
103,-32.99999999999967,-32.9967,-32.999999999967,-32.9999999967,-32.999999999967,-32.999999999999964
102,0.0,-31.9968,-31.68,0.0,-31.68,-31.9968
114,-43.99956,-43.56,0.0,0.0,-43.56,-39.6
108,-37.999999999999964,-37.9999999962,-37.9999999962,-37.9999999999962,-37.99962,-37.9999999999962
170,-99.0,-90.0,-99.0,-90.0,-90.0,-99.9
110,-39.999996,-39.9999999996,-39.99999999999996,-39.96,-39.9999999999996,-39.999996
139,-68.931,-68.931,-62.1,-62.1,-62.1,-68.931
141,-70.9929,-70.29,-70.29,-70.929,-70.99929,-70.29
225,0.0,0.0,0.0,0.0,0.0,0.0
59,0.0,9.9,11.0,10.999999999999998,10.99989,9.9
